t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,queue_len,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_workers,waiting_s0,waiting_s1,waiting_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
71.0149,6982,2379,4603,0,0,0,0,0,0.0476502,0.0472291,0.0476306,0.0481149,3,1,1,1,64,6976,6982,6982,6982,6982,6982,6982,6982,6982,6982,6982,6982,0
72.0151,7017,2441,4576,0,0,0,0,0,0.0477872,0.0478672,0.0476795,0.0478152,2,0,1,0,64,7014,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,0
73.0153,7022,2488,4534,0,0,0,0,0,0.0475823,0.0480418,0.0476189,0.0470781,2,1,1,0,64,7018,7021,7022,7022,7022,7022,7022,7022,7022,7022,7022,7022,0
74.0154,7005,2402,4603,0,0,0,0,2,0.0483636,0.0488944,0.0484591,0.0477581,1,1,0,0,64,7003,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,7005,0
75.0156,6974,2457,4517,0,0,0,0,0,0.0472935,0.0478234,0.0473038,0.0467509,1,0,1,0,64,6973,6974,6974,6974,6974,6974,6974,6974,6974,6974,6974,6974,0
76.0158,6919,2465,4454,0,0,0,0,0,0.0474203,0.0474943,0.0474218,0.0473423,3,1,0,2,64,6915,6916,6919,6919,6919,6919,6919,6919,6919,6919,6919,6919,0
77.016,6961,2499,4462,0,0,0,0,0,0.0511201,0.0520777,0.0516734,0.0496365,3,0,3,0,64,6922,6950,6961,6961,6961,6961,6961,6961,6961,6961,6961,6961,0
78.0162,1751,647,1104,0,0,0,0,0,0.0471125,0.0470721,0.0469029,0.0473761,0,0,0,0,0,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,0
79.0164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80.0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.0173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83.0176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84.0179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.0181,1,1,0,0,0,0,0,0,0.108535,0,0,0.108535,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
86.0184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88.0189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.0192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.0194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
