t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,queue_len,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_workers,waiting_s0,waiting_s1,waiting_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
66.0165,0,0,0,0,0,0,0,176,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
67.0166,275,77,198,0,0,0,0,0,7140.47,7439.56,6246.94,7791.6,1,0,1,0,64,17,17,19,19,19,19,19,19,19,83,83,83,192
68.0169,6684,1558,5126,0,0,0,0,0,0.0501878,0.0489189,0.0499069,0.0517358,3,2,1,0,64,6663,6674,6684,6684,6684,6684,6684,6684,6684,6684,6684,6684,0
69.0171,6979,1552,5427,0,0,0,0,0,0.0475838,0.0472656,0.0483109,0.0471918,3,1,1,0,64,6978,6979,6979,6979,6979,6979,6979,6979,6979,6979,6979,6979,0
70.0173,6916,1637,5279,0,0,0,0,1,0.0517528,0.0523951,0.0514487,0.0513949,2,0,0,2,64,6886,6911,6916,6916,6916,6916,6916,6916,6916,6916,6916,6916,0
71.0175,6926,1680,5246,0,0,0,0,0,0.0474834,0.047764,0.0469819,0.0476889,7,3,1,2,64,6924,6926,6926,6926,6926,6926,6926,6926,6926,6926,6926,6926,0
72.0177,6939,1713,5226,0,0,0,0,0,0.0474109,0.047438,0.0475165,0.0472727,2,1,0,1,64,6939,6939,6939,6939,6939,6939,6939,6939,6939,6939,6939,6939,0
73.0179,6933,1777,5156,0,0,0,0,0,0.0476111,0.0480484,0.0476847,0.0470935,2,0,2,0,64,6927,6933,6933,6933,6933,6933,6933,6933,6933,6933,6933,6933,0
74.018,6932,1745,5187,0,0,0,0,0,0.047012,0.0472274,0.0468171,0.0470018,1,1,0,0,64,6929,6932,6932,6932,6932,6932,6932,6932,6932,6932,6932,6932,0
75.0182,6936,1785,5151,0,0,0,0,1,0.0577498,0.0569754,0.0558525,0.0605887,1,1,0,0,64,6883,6912,6935,6936,6936,6936,6936,6936,6936,6936,6936,6936,0
76.0184,6933,1788,5145,0,0,0,0,0,0.0471284,0.0469864,0.0472439,0.0471518,2,0,1,1,64,6933,6933,6933,6933,6933,6933,6933,6933,6933,6933,6933,6933,0
77.0186,6926,1773,5153,0,0,0,0,2,0.0477107,0.0474837,0.04765,0.0480055,2,2,0,0,64,6925,6926,6926,6926,6926,6926,6926,6926,6926,6926,6926,6926,0
78.0188,6920,1900,5020,0,0,0,0,0,0.0478522,0.0478475,0.0476496,0.0480599,2,0,1,1,64,6916,6920,6920,6920,6920,6920,6920,6920,6920,6920,6920,6920,0
79.019,6927,1879,5048,0,0,0,0,0,0.0532186,0.0547125,0.0536602,0.0513491,2,1,0,1,64,6885,6919,6927,6927,6927,6927,6927,6927,6927,6927,6927,6927,0
80.0191,6941,2000,4941,0,0,0,0,1,0.0480735,0.0482795,0.0476862,0.0482576,2,1,0,0,64,6936,6941,6941,6941,6941,6941,6941,6941,6941,6941,6941,6941,0
81.0193,6928,1921,5007,0,0,0,0,0,0.0472342,0.0469002,0.0476365,0.0471814,2,1,1,0,64,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,0
82.0194,6957,2016,4941,0,0,0,0,0,0.0474313,0.0474071,0.0471999,0.0476981,2,1,1,0,64,6954,6956,6957,6957,6957,6957,6957,6957,6957,6957,6957,6957,0
83.0196,6891,1943,4948,0,0,0,0,0,0.0481989,0.0480151,0.0480726,0.0485135,2,0,1,1,64,6891,6891,6891,6891,6891,6891,6891,6891,6891,6891,6891,6891,0
84.0198,6925,1974,4951,0,0,0,0,0,0.0513582,0.050372,0.0516249,0.0520578,2,0,1,1,64,6895,6920,6925,6925,6925,6925,6925,6925,6925,6925,6925,6925,0
85.02,6997,2031,4966,0,0,0,0,0,0.0474656,0.0481847,0.0469852,0.0472395,6,2,2,0,64,6995,6996,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,0
86.0202,6953,2166,4787,0,0,0,0,0,0.0479068,0.0476054,0.0475851,0.0485341,3,1,1,0,64,6953,6953,6953,6953,6953,6953,6953,6953,6953,6953,6953,6953,0
87.0204,6960,2153,4807,0,0,0,0,1,0.0476456,0.0471318,0.0473506,0.048412,1,0,0,0,64,6959,6960,6960,6960,6960,6960,6960,6960,6960,6960,6960,6960,0
88.0205,6964,2041,4923,0,0,0,0,0,0.047956,0.0480351,0.0477308,0.0480989,2,1,1,0,64,6955,6963,6964,6964,6964,6964,6964,6964,6964,6964,6964,6964,0
89.0207,6473,2002,4471,0,0,0,0,0,0.0475037,0.0475447,0.0484302,0.0465146,0,0,0,0,64,6471,6473,6473,6473,6473,6473,6473,6473,6473,6473,6473,6473,0
90.021,6,1,5,0,0,0,0,0,0.101249,0,0.105721,0.0967767,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,0
91.0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.0218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.0221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0224,1,1,0,0,0,0,0,0,0.130276,0,0,0.130276,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
96.0227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.0229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.0232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.0234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
